time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
01 02:30:55.880Z-01-2023,61.1554,-149.9677,41.8,1.4,ml,,,,0.55,ak,ak0231owrhw,18 17:07:02.147Z-01-2023,"7 km SSW of Anchorage, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 02:21:57.576Z-01-2023,58.2678,-154.9889,4.9,1.4,ml,,,,0.24,ak,ak0231ouu84,23 17:08:05.391Z-01-2023,"84 km NNW of Karluk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
01 02:20:10.381Z-01-2023,61.9932,-148.7587,11.9,0.9,ml,,,,0.65,ak,ak0231ouitq,18 17:07:01.962Z-01-2023,"23 km N of Sutton-Alpine, Alaska",earthquake,,0.2,,,reviewed,ak,ak
01 02:19:31.850Z-01-2023,33.402,-116.3778333,6.23,0.67,ml,24,136,0.0756,0.15,ci,ci40152503,04 15:49:39.002Z-01-2023,"16km N of Borrego Springs, CA",earthquake,0.28,0.87,0.113,12,reviewed,ci,ci
01 02:18:25.790Z-01-2023,33.4005,-116.3845,3.63,1.18,ml,54,34,0.07499,0.22,ci,ci40152495,04 15:40:58.002Z-01-2023,"16km N of Borrego Springs, CA",earthquake,0.22,0.59,0.163,34,reviewed,ci,ci
01 02:12:57.668Z-01-2023,44.3695,-115.2008,10,2.5,ml,16,82,0.774,0.71,us,us7000j1bq,11 22:51:29.040Z-03-2023,"26 km NW of Stanley, Idaho",earthquake,2.26,1.873,0.048,58,reviewed,us,us
01 02:10:25.560Z-01-2023,33.0128333,-116.4286667,6.7,1,ml,38,52,0.04366,0.19,ci,ci40152487,03 22:06:58.350Z-01-2023,"18km ESE of Julian, CA",earthquake,0.23,0.51,0.157,15,reviewed,ci,ci
01 02:06:36.489Z-01-2023,62.0135,-148.9054,9.4,1.1,ml,,,,0.42,ak,ak0231orktm,18 17:06:57.684Z-01-2023,"27 km NNW of Sutton-Alpine, Alaska",earthquake,,0.1,,,reviewed,ak,ak
01 01:41:43.755Z-01-2023,7.1397,126.738,79.194,4.5,mb,32,104,1.152,0.47,us,us7000j3xk,11 22:51:45.040Z-03-2023,"23 km ESE of Manay, Philippines",earthquake,5.51,7.445,0.083,43,reviewed,us,us
01 01:27:56.510Z-01-2023,17.9548333333333,-66.9611666666667,10.93,2.17,md,8,206,0.08038,0.09,pr,pr71390093,01 02:08:00.120Z-01-2023,"5 km WSW of Guánica, Puerto Rico",earthquake,0.47,0.73,0.0344974936138351,6,reviewed,pr,pr
01 01:17:40.501Z-01-2023,38.1567,-117.9355,12.6,0.9,ml,12,146.01,0.026,0.1019,nn,nn00854386,06 21:51:52.472Z-01-2023,"30 km SSE of Mina, Nevada",earthquake,,1.3,0.28,3,reviewed,nn,nn
01 01:16:18.802Z-01-2023,63.0325,-149.8818,80.3,1.2,ml,,,,0.59,ak,ak0231o8908,18 17:07:01.766Z-01-2023,"61 km SW of Cantwell, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 01:11:42.360Z-01-2023,61.2707,-150.3637,47.3,1.6,ml,,,,0.55,ak,ak0231o7879,18 17:06:57.478Z-01-2023,"22 km WSW of Point MacKenzie, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 01:11:26.780Z-01-2023,58.1793333333333,-155.3185,0.88,-0.21,ml,6,106,,0.04,av,av91741001,03 19:44:13.430Z-01-2023,"85 km NW of Karluk, Alaska",earthquake,0.2,0.96,0.265477815656281,6,reviewed,av,av
01 01:08:28.530Z-01-2023,19.5856666666667,-155.6005,-3.05,2.06,ml,28,147,,0.3,hv,hv73289882,18 19:07:33.729Z-01-2024,"31 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.66,0.22,0.154603664976943,8,reviewed,hv,hv
01 01:07:57.960Z-01-2023,33.4026667,-116.37,4.19,0.84,ml,29,121,0.07577,0.23,ci,ci40152479,03 22:02:22.989Z-01-2023,"16km N of Borrego Springs, CA",earthquake,0.31,0.74,0.15,16,reviewed,ci,ci
01 01:00:32.952Z-01-2023,62.9888,-150.7628,114,1.9,ml,,,,0.36,ak,ak0231o4ull,18 19:07:32.245Z-01-2024,"54 km N of Petersville, Alaska",earthquake,,0.3,,,reviewed,ak,ak
01 01:00:24.860Z-01-2023,34.4015,-118.7125,6.66,1.93,ml,52,33,0.04754,0.25,ci,ci40152471,03 21:59:26.680Z-01-2023,"8km ESE of Piru, CA",earthquake,0.26,0.6,0.135,41,reviewed,ci,ci
01 00:57:36.510Z-01-2023,33.5558333,-116.613,15.17,0.47,ml,21,80,0.003924,0.12,ci,ci40152463,03 21:44:56.401Z-01-2023,"6km E of Anza, CA",earthquake,0.29,0.39,0.131,6,reviewed,ci,ci
01 00:50:36.365Z-01-2023,62.2951,-151.5243,78.8,1.3,ml,,,,0.38,ak,ak0231nu53o,18 17:07:01.575Z-01-2023,"34 km N of Skwentna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
01 00:49:25.294Z-01-2023,52.0999,178.5218,82.77,3.1,ml,14,139,0.87,0.18,us,us7000j5a1,11 22:51:52.040Z-03-2023,"Rat Islands, Aleutian Islands, Alaska",earthquake,8.46,21.213,0.097,14,reviewed,us,us
01 00:46:02.195Z-01-2023,62.0786,-150.9133,70.3,1.4,ml,,,,0.24,ak,ak0231nt7ln,18 17:07:01.176Z-01-2023,"27 km ENE of Skwentna, Alaska",earthquake,,0.5,,,reviewed,ak,ak
01 00:33:57.558Z-01-2023,59.7316,-151.8545,60,1.8,ml,,,,0.35,ak,ak0231nqjkb,18 17:07:00.982Z-01-2023,"5 km SSW of Anchor Point, Alaska",earthquake,,0.6,,,reviewed,ak,ak
01 00:32:22.630Z-01-2023,33.408,-116.6168333,7.52,0.84,ml,41,37,0.07285,0.16,ci,ci40152455,03 21:42:06.029Z-01-2023,"14km N of Warner Springs, CA",earthquake,0.18,0.49,0.076,16,reviewed,ci,ci
01 00:25:46.311Z-01-2023,63.297,-145.1789,2.8,1.7,ml,,,,0.37,ak,ak0231nosyg,18 17:06:57.007Z-01-2023,"31 km NE of Paxson, Alaska",earthquake,,0.2,,,reviewed,ak,ak
01 00:13:35.730Z-01-2023,61.6854,-149.6692,39.9,1.2,ml,,,,0.48,ak,ak0231nm7k5,18 17:07:00.788Z-01-2023,"7 km NNW of Meadow Lakes, Alaska",earthquake,,0.3,,,reviewed,ak,ak
01 00:07:05.430Z-01-2023,38.7835,-122.7545,1.69,0.69,md,32,74,0.01389,0.03,nc,nc73827346,10 18:17:17.080Z-01-2023,"1km NNE of The Geysers, CA",earthquake,0.15,0.22,0.146,5,reviewed,nc,nc
01 00:06:14.840Z-01-2023,38.7836667,-122.7536667,1.62,0.09,md,17,88,0.01325,0.02,nc,nc73827341,10 07:11:14.067Z-01-2023,"1km NNE of The Geysers, CA",earthquake,0.21,0.38,0.11,3,reviewed,nc,nc
