time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
01 21:33:14.290Z-01-2023,35.7943333,-117.6298333,4.86,1,ml,15,71,0.03386,0.11,ci,ci40152791,25 23:02:27.744Z-01-2023,"20km NNE of Ridgecrest, CA",earthquake,0.19,0.3,0.186,5,reviewed,ci,ci
01 21:32:44.421Z-01-2023,-21.3126,-67.2105,201.911,4.4,mb,47,40,1.862,0.69,us,us7000j1h7,11 22:51:30.040Z-03-2023,"Potosi, Bolivia",earthquake,7.61,6.994,0.127,18,reviewed,us,us
01 21:27:32.580Z-01-2023,19.1521666666667,-155.362666666667,28.79,1.39,md,18,222,,0.12,hv,hv73291127,12 02:07:25.770Z-01-2023,"Island of Hawaii, Hawaii",earthquake,0.73,0.79,0.106638968043261,11,reviewed,hv,hv
01 21:24:15.849Z-01-2023,29.7295,70.1934,10,4.3,mb,33,138,4.706,0.68,us,us7000j1h6,11 22:51:30.040Z-03-2023,"25 km NW of Dajal, Pakistan",earthquake,9.06,1.935,0.153,12,reviewed,us,us
01 21:23:47.177Z-01-2023,31.68425514,-104.421101,6.131567383,3.3,ml,35,58,0.005694830054,0.2,tx,tx2023abqj,11 22:51:30.040Z-03-2023,"54 km S of Whites City, New Mexico",earthquake,0.6818347955,0.4618944496,0.2,26,reviewed,tx,tx
01 21:18:30.580Z-01-2023,51.784,-178.816666666667,2.83,0.92,ml,4,126,,0.07,av,av91741321,03 19:22:57.530Z-01-2023,"150 km W of Adak, Alaska",earthquake,0.49,1.16,0.212445157927756,4,reviewed,av,av
01 21:18:07.200Z-01-2023,19.2075004577637,-155.384674072266,33.2099990844727,1.70000005,md,25,171,,0.100000001,hv,hv73291117,01 21:21:19.580Z-01-2023,"Island of Hawaii, Hawaii",earthquake,0.66,0.730000019,0.560000002,3,automatic,hv,hv
01 21:06:53.036Z-01-2023,57.5108,-155.6495,15.8,2.1,ml,,,,0.38,ak,ak023202udf,23 17:35:50.397Z-01-2023,"71 km W of Karluk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
01 21:01:50.269Z-01-2023,38.1728,-118.1493,13.8,1.4,ml,13,133.38,0.132,0.0829,nn,nn00854408,18 19:08:04.688Z-01-2024,"24 km S of Mina, Nevada",earthquake,,2.3,0.22,3,reviewed,nn,nn
01 21:01:26.750Z-01-2023,38.7821667,-122.7538333,1.99,0.02,md,7,106,0.01474,0.01,nc,nc73827636,06 10:18:11.432Z-01-2023,"1km NNE of The Geysers, CA",earthquake,0.57,0.99,0.041,2,reviewed,nc,nc
01 20:52:12.880Z-01-2023,40.4221667,-123.9726667,23.09,2.07,md,31,50,0.02285,0.14,nc,nc73827631,02 08:13:13.910Z-01-2023,"14km SE of Rio Dell, CA",earthquake,0.27,0.43,0.154,22,reviewed,nc,nc
01 20:46:47.630Z-01-2023,37.3871667,-119.991,19.85,1.73,md,11,79,0.1845,0.12,nc,nc73827626,02 10:03:13.540Z-01-2023,"11km SSW of Mariposa, CA",earthquake,0.51,0.53,0.187,11,reviewed,nc,nc
01 20:44:48.859Z-01-2023,62.7727,-148.3982,54.6,1.3,ml,,,,0.35,ak,ak0231zpk0q,18 21:27:01.693Z-01-2023,"Central Alaska",earthquake,,0.5,,,reviewed,ak,ak
01 20:28:16.549Z-01-2023,64.9984,-147.3966,0,1.3,ml,,,,0.43,ak,ak0231zm1qt,18 19:08:03.079Z-01-2024,"11 km ENE of Fox, Alaska",explosion,,0,,,reviewed,ak,ak
01 20:24:28.820Z-01-2023,34.457,-116.4851667,6.41,1.33,ml,15,160,0.139,0.08,ci,ci40152775,05 15:23:59.587Z-01-2023,"38km N of Yucca Valley, CA",earthquake,0.24,0.62,0.125,11,reviewed,ci,ci
01 20:21:58.213Z-01-2023,61.5387,-151.2437,9.3,1.6,ml,,,,0.95,ak,ak0231zkn4g,18 19:08:01.342Z-01-2024,"38 km W of Susitna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
01 20:18:59.079Z-01-2023,35.1225,-95.54066667,7.69,2.06,ml,71,86,0.09898057663,0.21,ok,ok2023abof,03 16:52:13.643Z-01-2023,"11 km E of Crowder, Oklahoma",earthquake,,0.7,0.17,11,reviewed,ok,ok
01 20:18:28.100Z-01-2023,17.9345,-67.1081666666667,7.82,2.43,md,6,280,0.07008,0.18,pr,pr71390268,01 20:34:31.330Z-01-2023,"7 km SW of La Parguera, Puerto Rico",earthquake,1.05,0.36,0.121875821730355,5,reviewed,pr,pr
01 20:10:32.239Z-01-2023,18.7635,145.3291,305.991,4.4,mb,71,95,5.164,0.79,us,us7000j1gz,11 22:51:30.040Z-03-2023,"Pagan region, Northern Mariana Islands",earthquake,8.59,7.069,0.065,67,reviewed,us,us
01 20:07:58.200Z-01-2023,51.8511666666667,-177.836833333333,3.22,0.84,ml,4,221,,0.04,av,av91741301,04 03:18:02.800Z-01-2023,"82 km W of Adak, Alaska",earthquake,0.68,0.99,0.160425181071345,4,reviewed,av,av
01 19:57:03.240Z-01-2023,35.7995,-117.6253333,7.06,0.9,ml,15,77,0.02782,0.11,ci,ci40152767,25 22:59:54.026Z-01-2023,"20km W of Searles Valley, CA",earthquake,0.25,0.38,0.092,7,reviewed,ci,ci
01 19:52:13.560Z-01-2023,40.4388333,-124.0176667,22.5,1.81,md,26,44,0.0164,0.08,nc,nc73827621,02 07:25:12.086Z-01-2023,"10km SE of Rio Dell, CA",earthquake,0.23,0.33,0.226,15,reviewed,nc,nc
01 19:48:52.390Z-01-2023,38.821167,-122.7884979,2.23,0.76,md,8,84,0.00998,0.01,nc,nc73827616,01 20:16:13.344Z-01-2023,"6km NNW of The Geysers, CA",earthquake,0.7,1.61,0.19,8,automatic,nc,nc
01 19:48:40.650Z-01-2023,38.8208333,-122.7883333,1.82,0.44,md,16,76,0.009639,0.02,nc,nc73827611,10 22:35:14.651Z-01-2023,"6km NNW of The Geysers, CA",earthquake,0.25,0.45,0.495,2,reviewed,nc,nc
01 19:37:15.835Z-01-2023,15.7411,-92.2028,199.949,4.6,mb,95,67,0.541,0.73,us,us7000j1gs,18 19:07:59.757Z-01-2024,"1 km S of Nueva Libertad, Mexico",earthquake,6.37,4.897,0.039,195,reviewed,us,us
01 19:35:38.108Z-01-2023,-3.4567,131.0209,10,4.5,mb,30,67,1.337,0.61,us,us7000j1gt,11 22:51:30.040Z-03-2023,"233 km E of Amahai, Indonesia",earthquake,4.25,1.823,0.115,22,reviewed,us,us
01 19:29:07.720Z-01-2023,19.3308333333333,-155.131666666667,7,2.42,ml,25,107,,0.09,hv,hv73291042,04 04:27:48.870Z-01-2023,"14 km S of Fern Forest, Hawaii",earthquake,0.42,0.78,0.17674887297202,28,reviewed,hv,hv
01 19:25:41.820Z-01-2023,38.7821655,-122.7558365,1.4,0.82,md,9,79,0.01381,0.02,nc,nc73827606,01 19:40:13.116Z-01-2023,"0km N of The Geysers, CA",earthquake,0.31,0.66,0.3,9,automatic,nc,nc
01 19:20:43.500Z-01-2023,17.9581666666667,-66.9183333333333,14.42,2.1,md,7,206,0.04081,0.11,pr,pr71390258,01 19:30:18.590Z-01-2023,"1 km SW of Guánica, Puerto Rico",earthquake,0.66,0.72,0.181278360545419,3,reviewed,pr,pr
01 19:14:28.310Z-01-2023,40.422,-123.9731667,22.29,2.25,md,28,50,0.1128,0.15,nc,nc73827601,02 07:01:11.483Z-01-2023,"14km SE of Rio Dell, CA",earthquake,0.28,0.5,0.149,27,reviewed,nc,nc
01 19:12:58.212Z-01-2023,61.7997,-150.1258,9.5,1.7,ml,,,,0.89,ak,ak0231yxa2o,18 21:27:01.051Z-01-2023,"Southern Alaska",earthquake,,0.2,,,reviewed,ak,ak
01 19:05:52.430Z-01-2023,56.8133333333333,-158.0935,10.62,0.82,ml,4,264,,0.01,av,av91082833,04 20:22:58.530Z-01-2023,"35 km ESE of Port Heiden, Alaska",earthquake,1.08,0.41,0.381003440596271,4,reviewed,av,av
01 19:03:06.178Z-01-2023,2.0751,128.135,153.78,4.3,mb,20,94,1.506,0.57,us,us7000j3y3,11 22:51:46.040Z-03-2023,"40 km NNE of Tobelo, Indonesia",earthquake,13.68,8.348,0.188,8,reviewed,us,us
01 19:02:43.340Z-01-2023,56.855,-158.077666666667,6.73,0.51,ml,4,271,,0.11,av,av91082823,04 20:14:38.650Z-01-2023,"35 km ESE of Port Heiden, Alaska",earthquake,1.33,0.39,0.187402377020095,4,reviewed,av,av
01 19:02:04.850Z-01-2023,19.2024993896484,-155.399826049805,31.1200008392334,2.11999989,md,18,168,,0.109999999,hv,hv73291007,01 19:05:08.150Z-01-2023,"8 km E of P?hala, Hawaii",earthquake,0.77,0.959999979,2.11999989,4,automatic,hv,hv
01 19:00:42.680Z-01-2023,38.8231667,-122.8533333,2.95,1.27,md,41,56,0.005173,0.04,nc,nc73827596,10 19:48:14.659Z-01-2023,"10km WNW of The Geysers, CA",earthquake,0.14,0.21,0.102,7,reviewed,nc,nc
01 18:55:10.180Z-01-2023,40.429,-123.9966667,28.14,2.43,md,27,45,0.09547,0.09,nc,nc73827591,02 06:46:11.409Z-01-2023,"12km SE of Rio Dell, CA",earthquake,0.24,0.53,0.214,37,reviewed,nc,nc
01 18:55:09.666Z-01-2023,40.6042,-29.1424,10,4.7,mb,79,45,3.993,0.72,us,us7000j1gq,11 22:51:30.040Z-03-2023,"Azores Islands region",earthquake,10.68,1.856,0.07,62,reviewed,us,us
01 18:48:06.890Z-01-2023,19.1830005645752,-155.347503662109,30.0499992370605,2.27,ml,45,174,,0.159999996,hv,hv73290987,01 18:53:36.700Z-01-2023,"13 km E of P?hala, Hawaii",earthquake,0.61,0.74000001,2.89,10,automatic,hv,hv
01 18:47:36.160Z-01-2023,38.8139992,-122.8271637,1.94,0.76,md,10,103,0.00536,0.02,nc,nc73827586,01 19:13:13.064Z-01-2023,"7km WNW of The Geysers, CA",earthquake,0.4,0.8,0.33,10,automatic,nc,nc
01 18:46:18.330Z-01-2023,40.4341667,-124.0085,24.83,1.77,md,25,43,0.08736,0.1,nc,nc73827581,02 05:44:12.077Z-01-2023,"11km SE of Rio Dell, CA",earthquake,0.31,0.55,0.161,14,reviewed,nc,nc
01 18:43:49.360Z-01-2023,40.4303333,-124.014,24.31,2.06,md,27,43,0.08255,0.09,nc,nc73827576,02 06:30:11.455Z-01-2023,"11km SE of Rio Dell, CA",earthquake,0.23,0.44,0.168,23,reviewed,nc,nc
01 18:42:22.182Z-01-2023,36.8135,-104.8135,5,1.1,ml,4,209,0.042,0.07,us,us6000jkz0,11 22:51:27.040Z-03-2023,"34 km NNE of Cimarron, New Mexico",earthquake,2.72,1.915,0.128,8,reviewed,us,us
01 18:35:04.510Z-01-2023,40.409,-123.971,30.63,5.35,mw,37,44,0.1146,0.13,nc,nc73827571,01 17:41:04.420Z-01-2025,"15km SE of Rio Dell, CA",earthquake,0.25,0.62,,5,reviewed,nc,nc
01 18:34:14.740Z-01-2023,19.1401666666667,-156.197,38.49,3.77,ml,52,252,,0.11,hv,hv73290972,11 22:51:30.040Z-03-2023,"46 km W of Hawaiian Ocean View, Hawaii",earthquake,0.64,1.12,0.179969539975316,40,reviewed,hv,hv
01 18:33:51.520Z-01-2023,58.2535,-155.125833333333,1.53,-1,ml,4,211,,0.12,av,av91082768,04 18:58:21.730Z-01-2023,"85 km NNW of Karluk, Alaska",earthquake,0.68,2,0.152342946465536,4,reviewed,av,av
01 18:27:49.590Z-01-2023,51.9396666666667,179.599,8.74,1.23,ml,4,119,,0.11,av,av91082788,04 19:30:42.990Z-01-2023,"259 km W of Adak, Alaska",earthquake,0.71,0.91,0.331480488059285,4,reviewed,av,av
01 18:26:42.628Z-01-2023,-56.2415,-123.5343,10,5.8,mww,22,100,29.414,0.82,us,us7000j1u6,11 22:51:35.040Z-03-2023,"southern East Pacific Rise",earthquake,15.33,1.725,0.083,14,reviewed,us,us
01 18:24:32.306Z-01-2023,-2.5533,140.8007,30.83,5.5,mww,116,33,0.104,0.59,us,us7000j1g5,11 22:51:30.040Z-03-2023,"9 km ESE of Jayapura, Indonesia",earthquake,7.38,4.07,0.068,21,reviewed,us,us
01 18:20:53.014Z-01-2023,-60.8195,-51.0213,11.175,4.7,mb,29,63,3.926,0.7,us,us7000j3ya,11 22:51:46.040Z-03-2023,"Scotia Sea",earthquake,10.28,4.226,0.13,18,reviewed,us,us
01 18:19:18.780Z-01-2023,32.9163333,-116.2805,11.72,1.15,ml,36,49,0.04274,0.24,ci,ci40152751,05 15:08:48.185Z-01-2023,"26km ENE of Pine Valley, CA",earthquake,0.28,0.85,0.048,10,reviewed,ci,ci
01 18:17:27.100Z-01-2023,58.1865,-155.295833333333,2.14,-0.22,ml,7,98,,0.07,av,av91741266,04 01:07:50.710Z-01-2023,"84 km NW of Karluk, Alaska",earthquake,0.27,0.54,0.20501583647098,7,reviewed,av,av
01 18:04:18.060Z-01-2023,64.7245,-147.7459,14,1,ml,,,,0.83,ak,ak0231ya1jq,18 19:07:58.035Z-01-2024,"9 km SSE of South Van Horn, Alaska",earthquake,,0.2,,,reviewed,ak,ak
01 18:04:03.332Z-01-2023,37.1538,-116.2802,8.4,1.1,ml,27,91.86,0.049,0.1288,nn,nn00854398,03 18:47:27.381Z-01-2023,"50 km ENE of Beatty, Nevada",earthquake,,0.9,0.36,20,reviewed,nn,nn
01 18:02:46.952Z-01-2023,60.9754,-147.41,10,1.4,ml,,,,0.71,ak,ak0231y9ofr,18 19:07:56.529Z-01-2024,"41 km WNW of Tatitlek, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 17:58:51.112Z-01-2023,-13.8596,166.5448,10,4.6,mb,20,157,6.995,0.32,us,us7000j3y9,11 22:51:46.040Z-03-2023,"108 km W of Sola, Vanuatu",earthquake,12.58,1.913,0.173,12,reviewed,us,us
01 17:58:17.690Z-01-2023,19.3883333333333,-155.278333333333,1.62,1.28,md,20,100,,0.21,hv,hv73290927,04 23:32:26.820Z-01-2023,"7 km SW of Volcano, Hawaii",earthquake,0.32,0.24,0.0284870291547019,3,reviewed,hv,hv
01 17:57:40.076Z-01-2023,31.61560972,-104.1165053,6.080151367,2.4,ml,16,87,0.03830120932,0.2,tx,tx2023abjo,01 22:49:26.370Z-01-2023,"45 km NW of Toyah, Texas",earthquake,0.8645147371,0.7892477961,0.2,11,reviewed,tx,tx
01 17:56:51.540Z-01-2023,33.4068333,-116.3713333,4.48,0.84,ml,17,95,0.06808,0.14,ci,ci40152743,05 14:49:36.222Z-01-2023,"17km N of Borrego Springs, CA",earthquake,0.22,0.71,0.115,4,reviewed,ci,ci
01 17:54:04.206Z-01-2023,66.3333,-157.407,7.2,1.4,ml,,,,0.65,ak,ak0231xzaqi,23 17:35:51.000Z-01-2023,"63 km S of Shungnak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 17:41:55.360Z-01-2023,51.5266666666667,-178.640666666667,13.67,2.01,ml,8,210,,0.18,av,av91741261,03 19:14:28.050Z-01-2023,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,3.49,4.38,0.186889118299391,8,reviewed,av,av
01 17:40:21.880Z-01-2023,17.979,-66.9971666666667,8.29,2.03,md,6,168,0.04579,0.11,pr,pr71390253,01 17:49:59.870Z-01-2023,"Puerto Rico region",earthquake,0.41,1,0.0892489147948322,4,reviewed,pr,pr
01 17:36:17.640Z-01-2023,63.2345,-151.6109,4.3,1.2,ml,,,,0.92,ak,ak0231xvgzb,23 17:35:50.196Z-01-2023,"Central Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 17:30:48.630Z-01-2023,19.2334995269775,-155.393997192383,31.7299995422363,2.16,ml,42,142,,0.119999997,hv,hv73290902,01 17:36:18.700Z-01-2023,"9 km ENE of P?hala, Hawaii",earthquake,0.59,0.649999976,3.38,10,automatic,hv,hv
01 17:27:50.242Z-01-2023,60.1218,-152.3074,97,1.8,ml,,,,0.3,ak,ak0231xtlzn,18 19:07:54.701Z-01-2024,"36 km WNW of Ninilchik, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 17:23:47.671Z-01-2023,51.6088,-177.3301,25.6,1.7,ml,,,,0.36,ak,ak0231xsqxb,18 21:27:02.850Z-01-2023,"56 km WSW of Adak, Alaska",earthquake,,0.7,,,reviewed,ak,ak
01 17:18:06.640Z-01-2023,33.9713333,-116.7426667,17.81,1.27,ml,44,39,0.06697,0.12,ci,ci40152735,04 22:11:25.075Z-01-2023,"7km NE of Cabazon, CA",earthquake,0.15,0.37,0.212,25,reviewed,ci,ci
01 17:12:31.970Z-01-2023,19.1691666666667,-155.46,31.79,1.64,md,34,126,,0.12,hv,hv73290877,04 03:36:51.750Z-01-2024,"4 km SSE of Pāhala, Hawaii",earthquake,0.53,0.87,0.195569597181321,15,reviewed,hv,hv
01 17:09:49.490Z-01-2023,33.9646667,-117.5378333,2.99,0.82,ml,20,48,0.04396,0.09,ci,ci40152727,04 20:59:59.713Z-01-2023,"4km SSW of Mira Loma, CA",earthquake,0.13,0.19,0.179,5,reviewed,ci,ci
01 17:07:50.300Z-01-2023,51.8548333333333,-178.039166666667,5.43,1.16,ml,4,218,,0.1,av,av91082858,18 19:07:53.210Z-01-2024,"96 km W of Adak, Alaska",earthquake,0.93,0.74,0.0691012605604937,4,reviewed,av,av
01 17:07:40.911Z-01-2023,62.4722,-149.2894,10.7,1.2,ml,,,,0.66,ak,ak0231xpay3,18 19:07:51.456Z-01-2024,"41 km E of Chase, Alaska",earthquake,,0.3,,,reviewed,ak,ak
01 17:00:19.460Z-01-2023,19.3908333333333,-155.271166666667,8.45,1.65,md,25,42,,0.16,hv,hv73290857,05 00:07:11.690Z-01-2023,"6 km SW of Volcano, Hawaii",earthquake,0.3,0.29,0.33009907547049,6,reviewed,hv,hv
01 17:00:14.945Z-01-2023,63.1952,-148.6489,68.7,2.3,ml,,,,0.72,ak,ak0231xnqxw,18 21:27:00.177Z-01-2023,"26 km SE of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
01 16:57:44.050Z-01-2023,58.2488333333333,-155.124833333333,3.65,-0.32,ml,6,200,,0.11,av,av91082758,04 18:35:21.130Z-01-2023,"85 km NNW of Karluk, Alaska",earthquake,0.67,0.84,0.2116041175277,6,reviewed,av,av
01 16:53:46.650Z-01-2023,36.5941667,-121.2016667,8.19,2.04,md,51,66,0.02596,0.07,nc,nc73827556,10 19:08:09.395Z-01-2023,"9km NW of Pinnacles, CA",earthquake,0.16,0.25,0.33,41,reviewed,nc,nc
01 16:53:35.699Z-01-2023,62.9031,-150.1474,86,1.6,ml,,,,0.55,ak,ak0231xdq2p,18 19:07:49.622Z-01-2024,"50 km N of Chase, Alaska",earthquake,,0.6,,,reviewed,ak,ak
01 16:49:57.060Z-01-2023,35.726,-117.5276667,9.13,0.94,ml,18,95,0.106,0.14,ci,ci40152711,04 20:53:54.400Z-01-2023,"12km WSW of Searles Valley, CA",earthquake,0.27,0.68,0.141,11,reviewed,ci,ci
01 16:47:16.880Z-01-2023,32.6028333,-117.9698333,5.95,2.65,ml,27,247,0.631,0.32,ci,ci40152719,11 22:51:30.040Z-03-2023,"43km SE of San Clemente Is. (SE tip), CA",earthquake,0.98,31.61,0.152,91,reviewed,ci,ci
01 16:47:01.600Z-01-2023,40.5286667,-123.901,22.02,2.16,md,27,47,0.02191,0.11,nc,nc73827551,02 04:49:11.561Z-01-2023,"17km E of Hydesville, CA",earthquake,0.4,0.43,0.211,25,reviewed,nc,nc
01 16:40:44.544Z-01-2023,51.3584,-176.4942,35,2.9,ml,13,237,0.506,0.51,us,us7000j5cb,11 22:51:52.040Z-03-2023,"58 km S of Adak, Alaska",earthquake,2.67,2.016,0.148,6,reviewed,us,us
01 16:28:26.753Z-01-2023,31.71729206,-104.2797612,7.10847168,2.6,ml,26,62,0.0442252882,0.2,tx,tx2023abgp,11 22:51:30.040Z-03-2023,"western Texas",earthquake,0.6853669093,0.7808513706,0.2,35,reviewed,tx,tx
01 16:27:32.530Z-01-2023,33.9898333,-116.9818333,18.45,1.15,ml,38,59,0.06828,0.14,ci,ci40152703,04 20:00:18.211Z-01-2023,"7km E of Calimesa, CA",earthquake,0.18,0.34,0.134,24,reviewed,ci,ci
01 16:24:37.000Z-01-2023,59.5969,-152.1296,57.8,2,ml,,,,0.46,ak,ak0231x7i5w,18 19:07:47.634Z-01-2024,"26 km SW of Anchor Point, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 16:24:27.560Z-01-2023,-25.2057,178.5092,595.724,5.1,mb,73,41,7.041,0.85,us,us7000j1fq,11 22:51:30.040Z-03-2023,"south of the Fiji Islands",earthquake,11.13,6.692,0.039,213,reviewed,us,us
01 16:17:16.430Z-01-2023,38.845665,-122.8188324,1.51,0.88,md,8,97,0.00965,0.02,nc,nc73827541,01 16:36:12.990Z-01-2023,"9km WNW of Cobb, CA",earthquake,0.43,0.99,0.14,4,automatic,nc,nc
01 16:15:25.750Z-01-2023,19.2133331298828,-155.361999511719,34.7700004577637,1.98000002,md,34,207,,0.100000001,hv,hv73290807,01 16:24:43.870Z-01-2023,"12 km E of P?hala, Hawaii",earthquake,0.87,1.13,1.25,14,automatic,hv,hv
01 16:11:41.960Z-01-2023,58.1963333333333,-155.282333333333,2.58,-0.39,ml,4,273,,0.06,av,av91082753,04 18:31:28.880Z-01-2023,"85 km NW of Karluk, Alaska",earthquake,0.9,0.43,0.127859056265069,4,reviewed,av,av
01 16:10:25.199Z-01-2023,61.3455,-146.697,7.8,1.5,ml,,,,0.61,ak,ak0231x4h9z,18 21:27:02.486Z-01-2023,"30 km NW of Valdez, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 16:10:02.820Z-01-2023,58.2526666666667,-155.0815,5,-0.03,ml,7,102,,0.21,av,av91741236,04 01:03:32.670Z-01-2023,"84 km NNW of Karluk, Alaska",earthquake,0.82,1.08,0.223753514801613,7,reviewed,av,av
01 16:09:57.910Z-01-2023,38.8156662,-122.7948303,2.19,1.12,md,22,62,0.007696,0.01,nc,nc73827536,01 16:43:13.031Z-01-2023,"5km NW of The Geysers, CA",earthquake,0.21,0.41,0.22,21,automatic,nc,nc
01 16:05:26.270Z-01-2023,58.1751666666667,-155.359833333333,2.12,-0.25,ml,8,114,,0.05,av,av91082748,04 18:25:56.410Z-01-2023,"86 km NW of Karluk, Alaska",earthquake,0.28,0.39,0.122087289250996,8,reviewed,av,av
01 16:05:22.820Z-01-2023,33.4045,-116.378,4.72,0.96,ml,25,136,0.07809,0.18,ci,ci40152687,04 19:53:07.227Z-01-2023,"16km N of Borrego Springs, CA",earthquake,0.31,0.64,0.082,13,reviewed,ci,ci
01 15:58:59.598Z-01-2023,51.4319,-176.1661,18,2,ml,,,,0.44,ak,ak0231wtep3,18 23:40:40.560Z-01-2023,"58 km SSE of Adak, Alaska",earthquake,,2.1,,,reviewed,ak,ak
01 15:56:58.521Z-01-2023,60.4625,-153.0738,141,2,ml,,,,0.51,ak,ak0231wt2fi,18 23:40:36.724Z-01-2023,"74 km ENE of Port Alsworth, Alaska",earthquake,,0.5,,,reviewed,ak,ak
01 15:45:53.903Z-01-2023,61.4701,-151.5668,94.8,2.1,ml,,,,0.48,ak,ak0231wqlwd,11 22:51:26.040Z-03-2023,"44 km NW of Beluga, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 15:43:01.690Z-01-2023,38.8326667,-122.7935,2.05,1.2,md,32,30,0.006241,0.02,nc,nc73827531,10 21:24:13.353Z-01-2023,"6km W of Cobb, CA",earthquake,0.16,0.32,0.042,6,reviewed,nc,nc
01 15:39:03.002Z-01-2023,62.869,-150.9625,98.7,1.6,ml,,,,0.46,ak,ak0231wp7q4,18 23:40:40.363Z-01-2023,"42 km NNW of Petersville, Alaska",earthquake,,0.6,,,reviewed,ak,ak
01 15:36:55.139Z-01-2023,52.2072,-168.2739,10,2.8,ml,13,261,0.844,0.44,us,us7000j5da,11 22:51:52.040Z-03-2023,"90 km SSE of Nikolski, Alaska",earthquake,5.34,2.013,0.105,12,reviewed,us,us
01 15:35:15.050Z-01-2023,32.7958333,-116.7026667,14.33,1.24,ml,19,63,0.1022,0.16,ci,ci40152679,02 20:00:51.109Z-01-2023,"7km SE of Alpine, CA",earthquake,0.33,0.59,0.136,9,reviewed,ci,ci
01 15:26:31.870Z-01-2023,31.68561225,-104.424344,6.131567383,2.2,ml,23,80,0.005484168892,0.2,tx,tx2023abeo,03 22:09:32.398Z-01-2023,"54 km S of Whites City, New Mexico",earthquake,0.7628469658,0.4390825787,0.2,19,reviewed,tx,tx
01 15:26:28.925Z-01-2023,61.3436,-149.8915,29.3,1.6,ml,,,,0.68,ak,ak0231wmhc9,18 23:40:36.044Z-01-2023,"4 km ESE of Point MacKenzie, Alaska",earthquake,,0.5,,,reviewed,ak,ak
01 15:21:52.369Z-01-2023,36.47516667,-98.61733333,1.97,0.08,ml,9,107,0.01079788109,0.1,ok,ok2023abek,09 12:12:17.004Z-01-2023,"15 km WSW of Aline, Oklahoma",earthquake,,0.8,0.05,3,reviewed,ok,ok
01 15:21:03.114Z-01-2023,53.327,-167.4707,60.1,1.8,ml,,,,0.3,ak,ak0231wlcsl,23 17:23:01.535Z-01-2023,"Fox Islands, Aleutian Islands, Alaska",earthquake,,2.8,,,reviewed,ak,ak
01 15:13:07.172Z-01-2023,63.6675,-151.7903,7.9,1.3,ml,,,,0.87,ak,ak0231wjnfh,18 23:40:39.981Z-01-2023,"14 km NNW of Denali National Park, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 15:11:00.569Z-01-2023,65.163,-150.0183,18.3,1.6,ml,,,,0.71,ak,ak0231wj7hh,18 23:40:35.856Z-01-2023,"31 km W of Minto, Alaska",earthquake,,0.2,,,reviewed,ak,ak
01 15:10:07.415Z-01-2023,51.117,-176.3119,10,3,ml,13,244,0.748,0.54,us,us7000j5d9,11 22:51:52.040Z-03-2023,"87 km SSE of Adak, Alaska",earthquake,3.87,1.974,0.148,6,reviewed,us,us
01 14:58:28.280Z-01-2023,34.0088333,-116.9363333,4.05,1.41,ml,51,54,0.0845,0.12,ci,ci40152671,04 19:47:43.580Z-01-2023,"10km NNE of Beaumont, CA",earthquake,0.12,0.38,0.132,35,reviewed,ci,ci
01 14:57:55.200Z-01-2023,19.2551666666667,-155.368833333333,31,1.48,md,10,198,,0.12,hv,hv73290732,05 00:31:58.530Z-01-2023,"12 km ENE of P?hala, Hawaii",earthquake,1.42,0.87,0.0296269017894732,5,reviewed,hv,hv
01 14:45:54.521Z-01-2023,51.0782,-176.2663,13.4,2.1,ml,,,,0.32,ak,ak0231w56e4,18 23:40:39.803Z-01-2023,"92 km SSE of Adak, Alaska",earthquake,,1.7,,,reviewed,ak,ak
01 14:45:41.283Z-01-2023,52.2879,-168.3001,19.223,3.4,ml,19,214,0.764,0.76,us,us7000j3y0,11 22:51:46.040Z-03-2023,"81 km SSE of Nikolski, Alaska",earthquake,7.12,7.064,0.091,16,reviewed,us,us
01 14:43:21.938Z-01-2023,51.0929,-176.2184,10,3,ml,10,291,0.779,0.32,us,us7000j5d8,11 22:51:52.040Z-03-2023,"91 km SSE of Adak, Alaska",earthquake,2.93,2.023,0.148,6,reviewed,us,us
01 14:41:33.783Z-01-2023,49.7491,150.7474,385.112,4.1,mb,55,119,5.496,0.67,us,us7000j1fc,18 19:07:45.597Z-01-2024,"northwest of the Kuril Islands",earthquake,12.84,8.002,0.059,79,reviewed,us,us
01 14:41:18.768Z-01-2023,-12.8831,166.3007,10,4.2,mb,14,87,7.111,1.13,us,us7000j3y1,11 22:51:46.040Z-03-2023,"174 km NW of Sola, Vanuatu",earthquake,9.37,1.918,0.263,6,reviewed,us,us
